run,sid,block,condition,m,N,k,delta,rotation,target_label,n_draws,mean_logodds,sd_logodds,b_pos,q_t,b_star,correct,denominator,s,abs_err_nats,is_flip,n_clipped
anchor,B1-CORE|m2|N9|k0|rot0|FULL,B1-CORE,FULL,2,9,0,0,0,SIGMA,10,-6.906755,0.0,0.0,-3.649186,-3.649186,-3.649186,-3.649186,1.892684,3.257569,False,10
anchor,B1-CORE|m2|N9|k0|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,0,0,0,SIGMA,10,0.0,0.0,0.0,-3.649186,-3.649186,0.0,-3.649186,-0.0,0.0,False,0
anchor,B1-CORE|m2|N9|k0|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,0,0,0,SIGMA,10,-0.406156,0.730979,0.0,-3.649186,-3.649186,-3.649186,-3.649186,0.1113,3.24303,False,0
deepseek-control,CTRL-FULL-EXPLICIT|m2|N9|k0|rot0|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,0,0,0,SIGMA,10,-4.163064,0.195322,0.0,-3.649186,-3.649186,-3.649186,-3.649186,1.14082,0.513878,False,0
deepseek-control,CTRL-FULL-EXPLICIT|m2|N9|k0|rot1|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,0,0,1,THETA,10,-1.06021,2.862925,0.0,-3.649186,-3.649186,-3.649186,-3.649186,0.290533,2.588976,False,0
deepseek-control,CTRL-FULL-EXPLICIT|m2|N9|k2|rot0|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,2,0,0,SIGMA,10,-1.7595,2.79332,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,0.905637,0.267825,True,0
deepseek-control,CTRL-FULL-EXPLICIT|m2|N9|k2|rot1|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,2,0,1,THETA,10,0.610686,3.073021,0.81093,-2.027326,-2.027326,-2.027326,-2.838256,0.070552,2.638012,True,0
deepseek-control,CTRL-FULL-EXPLICIT|m2|N9|k4|rot0|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,4,0,0,SIGMA,10,0.571738,1.801194,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.517984,0.977203,True,0
deepseek-control,CTRL-FULL-EXPLICIT|m2|N9|k4|rot1|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,4,0,1,THETA,10,0.89633,2.205109,1.62186,-0.405465,-0.405465,-0.405465,-2.027326,0.357876,1.301795,True,0
deepseek-control,CTRL-FULL-EXPLICIT|m2|N9|k6|rot0|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,6,0,0,SIGMA,10,2.956829,0.487615,2.432791,1.216395,1.216395,1.216395,-1.216395,-0.430812,1.740433,False,0
deepseek-control,CTRL-FULL-EXPLICIT|m2|N9|k6|rot1|FULL-EXPLICIT,CTRL-FULL-EXPLICIT,FULL-EXPLICIT,2,9,6,0,1,THETA,10,2.530302,1.855216,2.432791,1.216395,1.216395,1.216395,-1.216395,-0.080164,1.313907,False,0
deepseek-high,B1-CORE|m2|N9|k0|rot0|FULL,B1-CORE,FULL,2,9,0,0,0,SIGMA,3,-3.663562,0.0,0.0,-3.649186,-3.649186,-3.649186,-3.649186,1.003939,0.014376,False,0
deepseek-high,B1-CORE|m2|N9|k0|rot0|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,0,0,0,SIGMA,3,0.0,0.0,0.0,-3.649186,-3.649186,0.0,-3.649186,-0.0,0.0,False,0
deepseek-high,B1-CORE|m2|N9|k0|rot0|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,0,0,0,SIGMA,3,-3.663562,0.0,0.0,-3.649186,-3.649186,-3.649186,-3.649186,1.003939,0.014376,False,0
deepseek-high,B1-CORE|m2|N9|k0|rot0|PARTIAL-RULED-d3,B1-CORE,PARTIAL-RULED-d3,2,9,0,3/10,0,SIGMA,3,-0.648637,1.123472,0.0,-1.946008,-3.649186,-1.946008,-1.946008,0.333317,1.297371,False,0
deepseek-high,B1-CORE|m2|N9|k0|rot1|FULL,B1-CORE,FULL,2,9,0,0,1,THETA,3,-3.663562,0.0,0.0,-3.649186,-3.649186,-3.649186,-3.649186,1.003939,0.014376,False,0
deepseek-high,B1-CORE|m2|N9|k0|rot1|PARTIAL-BLIND,B1-CORE,PARTIAL-BLIND,2,9,0,0,1,THETA,3,0.0,0.0,0.0,-3.649186,-3.649186,0.0,-3.649186,-0.0,0.0,False,0
deepseek-high,B1-CORE|m2|N9|k0|rot1|PARTIAL-RULED-d0,B1-CORE,PARTIAL-RULED-d0,2,9,0,0,1,THETA,3,-1.221187,2.115158,0.0,-3.649186,-3.649186,-3.649186,-3.649186,0.334646,2.427999,False,0
